cod_item,periodo,mao_de_obra,materia_prima,gasto_geral
124,10/2021,491.2,1133.26,137.97
124,11/2021,523.64,534.05,69.12
124,12/2021,331.0,560.59,473.48
124,01/2022,153.35,192.41,206.42
124,02/2022,424.23,346.35,382.13
124,03/2022,925.19,567.97,379.19
124,04/2022,463.71,1384.78,362.49
124,05/2022,101.53,754.8,27.95
124,06/2022,441.99,1438.54,136.93
124,07/2022,658.93,206.73,389.52
124,08/2022,855.58,745.11,214.43
124,09/2022,95.58,697.76,417.05
124,10/2022,449.49,1144.33,217.83
124,11/2022,672.82,508.11,103.03
124,12/2022,76.1,1371.51,230.87
124,01/2023,147.92,798.81,34.63
124,02/2023,407.89,1285.36,285.45
124,03/2023,417.64,1497.85,339.09
124,04/2023,523.1,987.57,169.94
124,05/2023,469.68,1398.2,280.41
124,06/2023,535.83,436.83,179.45
124,07/2023,778.12,469.97,146.85
125,01/2021,894.95,336.25,364.35
125,02/2021,876.6,740.18,465.4
125,03/2021,152.98,951.81,287.7
125,04/2021,154.71,1129.91,230.97
125,05/2021,167.74,304.22,369.28
125,06/2021,247.69,261.74,469.67
125,07/2021,164.13,985.49,76.67
125,08/2021,615.08,1257.09,460.2
125,09/2021,982.67,717.41,151.96
125,10/2021,208.87,649.42,402.55
125,11/2021,219.13,223.12,401.95
125,12/2021,975.26,572.62,384.73
125,01/2022,875.18,548.44,347.15
125,02/2022,245.43,505.58,189.57
125,03/2022,412.35,786.4,465.5
125,04/2022,316.75,387.77,312.61
125,05/2022,560.03,1009.65,148.98
125,06/2022,316.99,628.29,97.84
125,07/2022,856.93,1291.22,299.22
125,08/2022,640.26,1499.95,307.16
125,09/2022,689.02,662.29,153.89
125,10/2022,475.74,926.14,437.12
125,11/2022,63.69,816.96,172.53
125,12/2022,434.3,1141.24,422.64
125,01/2023,176.14,431.47,278.7
125,02/2023,39.05,215.1,75.48
125,03/2023,139.87,1125.76,269.8
125,04/2023,899.23,1369.27,498.0
125,05/2023,529.98,872.28,499.94
125,06/2023,803.4,1069.69,144.74
125,07/2023,521.33,1040.17,62.76
126,01/2021,512.87,967.16,195.68
126,02/2021,601.82,289.52,233.12
126,03/2021,645.22,889.13,232.24
126,04/2021,631.87,503.6,145.83
126,05/2021,699.71,315.22,83.72
126,06/2021,429.25,331.18,47.23
126,07/2021,178.15,332.13,164.41
126,08/2021,473.48,311.14,176.91
126,09/2021,442.46,618.56,106.11
126,10/2021,920.53,1479.33,447.02
126,11/2021,127.43,1166.02,206.42
126,12/2021,468.51,50.41,146.48
126,01/2022,483.87,1215.85,153.76
126,02/2022,911.89,174.03,469.83
126,03/2022,660.95,740.44,488.29
126,04/2022,539.26,238.33,495.71
126,05/2022,160.63,1324.8,359.2
126,06/2022,46.71,259.65,280.95
126,07/2022,134.44,468.8,313.75
126,08/2022,741.32,1442.2,163.72
126,09/2022,925.43,379.52,75.26
126,10/2022,279.69,294.29,189.32
126,11/2022,914.37,654.16,381.86
126,12/2022,672.51,8.63,39.09
126,01/2023,212.0,324.12,460.05
126,02/2023,792.07,1293.25,24.63
126,03/2023,864.28,1093.13,112.82
126,04/2023,497.74,1389.81,303.24
126,05/2023,541.56,714.1,469.4
126,06/2023,365.43,641.43,489.0
126,07/2023,111.55,352.58,206.89
127,01/2021,666.86,244.5,472.91
127,02/2021,731.73,1178.02,474.19
127,03/2021,973.71,80.37,180.62
127,04/2021,903.8,1159.55,444.82
127,05/2021,852.81,360.41,464.22
127,06/2021,444.1,790.04,478.32
127,07/2021,416.54,823.83,302.0
127,08/2021,520.77,1309.78,337.4
127,09/2021,387.93,1329.73,381.0
127,10/2021,80.3,21.2,487.04
127,11/2021,132.23,156.79,252.88
127,12/2021,193.76,1370.32,289.85
127,01/2022,245.46,810.3,201.74
127,02/2022,514.61,1265.35,201.76
127,03/2022,566.3,594.48,478.05
127,04/2022,292.04,1194.97,297.54
127,05/2022,582.49,380.08,349.24
127,06/2022,936.02,686.44,338.76
127,07/2022,809.84,717.89,211.63
127,08/2022,130.17,1148.55,281.57
127,09/2022,518.47,351.23,170.32
127,10/2022,797.98,671.8,253.64
127,11/2022,831.79,350.27,415.92
127,12/2022,118.32,327.57,379.33
127,01/2023,667.51,998.34,158.25
127,02/2023,909.08,1347.46,194.56
127,03/2023,720.62,612.93,235.07
127,04/2023,831.03,240.1,109.43
127,05/2023,505.68,348.14,140.99
127,06/2023,97.87,960.4,137.08
127,07/2023,718.09,102.89,307.3
128,01/2021,992.26,275.21,389.49
128,02/2021,839.84,744.04,211.19
128,03/2021,417.2,913.66,380.89
128,04/2021,705.85,667.36,147.98
128,05/2021,451.87,1028.68,454.5
128,06/2021,45.89,285.73,112.85
128,07/2021,987.67,343.73,105.63
128,08/2021,821.5,1236.31,199.78
128,09/2021,680.63,1070.31,80.5
128,10/2021,192.83,64.53,160.3
128,11/2021,342.59,589.66,461.79
128,12/2021,505.78,8.56,440.76
128,01/2022,592.0,710.18,428.63
128,02/2022,334.06,964.22,68.59
128,03/2022,627.75,1370.5,492.26
128,04/2022,975.7,1144.41,473.67
128,05/2022,287.55,1055.55,187.58
128,06/2022,23.37,492.76,182.63
128,07/2022,957.74,886.57,146.54
128,08/2022,107.69,801.03,359.51
128,09/2022,516.33,1061.0,33.65
128,10/2022,853.81,804.12,108.01
128,11/2022,330.89,665.77,423.78
128,12/2022,523.67,209.98,179.54
128,01/2023,411.35,758.12,7.74
128,02/2023,864.03,78.28,171.29
128,03/2023,666.28,636.03,62.72
128,04/2023,905.41,456.42,296.77
128,05/2023,856.88,218.13,288.25
128,06/2023,782.17,1322.04,100.97
128,07/2023,725.38,995.31,369.29
129,01/2021,855.65,1344.33,263.46
129,02/2021,596.87,1466.08,411.23
129,03/2021,840.04,1169.72,83.18
129,04/2021,87.93,262.56,370.41
129,05/2021,129.34,774.66,407.01
129,06/2021,292.9,1135.12,444.17
129,07/2021,326.39,423.62,401.69
129,08/2021,89.61,45.3,107.09
129,09/2021,372.25,72.59,64.06
129,10/2021,567.06,979.91,224.71
129,11/2021,803.3,1304.71,104.63
129,12/2021,350.6,9.45,116.73
129,01/2022,746.1,948.22,251.12
129,02/2022,621.2,738.81,417.66
129,03/2022,716.48,1413.02,89.63
129,04/2022,95.66,298.06,372.86
129,05/2022,749.18,1102.18,363.21
129,06/2022,932.23,390.64,168.46
129,07/2022,422.42,1436.58,26.96
129,08/2022,588.45,282.15,285.16
129,09/2022,450.08,999.36,323.5
129,10/2022,555.35,1087.17,258.36
129,11/2022,716.17,31.57,493.21
129,12/2022,72.79,780.19,76.85
129,01/2023,972.54,359.42,312.93
129,02/2023,95.63,1058.66,324.12
129,03/2023,208.85,1450.32,16.82
129,04/2023,751.92,441.46,352.95
129,05/2023,808.85,1140.76,230.33
129,06/2023,354.57,168.73,184.08
129,07/2023,325.12,3.09,390.86
130,01/2021,335.96,623.85,425.37
130,02/2021,642.63,162.55,339.75
130,03/2021,371.69,1276.2,134.6
130,04/2021,856.5,1185.32,447.91
130,05/2021,685.12,1127.77,277.35
130,06/2021,756.14,1388.02,196.65
130,07/2021,91.08,477.59,484.83
130,08/2021,914.96,57.19,360.75
130,09/2021,166.25,786.9,362.46
130,10/2021,912.87,137.26,344.18
130,11/2021,758.32,980.26,255.84
130,12/2021,463.58,543.12,79.19
130,01/2022,99.48,367.6,238.28
130,02/2022,69.36,1029.24,477.49
130,03/2022,890.32,665.8,71.53
130,04/2022,809.11,235.06,56.49
130,05/2022,280.4,185.7,473.61
130,06/2022,852.79,458.43,10.46
130,07/2022,786.81,462.89,322.94
130,08/2022,956.82,1112.84,353.07
130,09/2022,279.85,952.93,17.46
130,10/2022,90.07,1311.32,46.56
130,11/2022,216.09,1048.98,242.13
130,12/2022,215.91,199.82,74.76
130,01/2023,198.82,599.12,305.65
130,02/2023,126.59,282.42,460.09
130,03/2023,538.9,799.0,265.69
130,04/2023,717.07,592.13,139.34
130,05/2023,255.46,385.33,10.1
130,06/2023,311.69,809.71,279.15
130,07/2023,478.53,192.86,240.73
131,01/2021,976.6,115.91,388.52
131,02/2021,52.23,276.19,269.23
131,03/2021,578.53,797.41,435.53
131,04/2021,335.88,349.64,402.22
131,05/2021,900.52,495.29,238.35
131,06/2021,590.13,202.81,378.32
131,07/2021,560.45,718.49,421.51
131,08/2021,588.94,458.75,275.33
131,09/2021,386.25,694.51,46.22
131,10/2021,907.38,1143.26,300.36
131,11/2021,363.38,952.7,191.14
131,12/2021,386.5,1494.25,189.11
131,01/2022,312.78,259.65,311.84
131,02/2022,149.57,1317.47,301.75
131,03/2022,25.67,444.65,89.94
131,04/2022,294.1,843.55,168.61
131,05/2022,472.22,636.68,248.88
131,06/2022,105.7,336.95,38.39
131,07/2022,196.42,19.66,123.3
131,08/2022,88.19,420.98,480.82
131,09/2022,656.61,468.29,86.06
131,10/2022,485.98,762.96,475.69
131,11/2022,611.9,1313.6,440.49
131,12/2022,878.95,1096.97,81.74
131,01/2023,733.51,333.21,438.73
131,02/2023,132.7,583.45,147.18
131,03/2023,621.02,1354.38,51.37
131,04/2023,224.36,139.9,323.38
131,05/2023,6.63,776.1,57.79
131,06/2023,511.12,772.8,302.92
131,07/2023,842.68,1063.04,263.01
132,01/2021,100.61,1094.38,325.44
132,02/2021,705.3,1161.43,230.44
132,03/2021,400.47,4.85,194.56
132,04/2021,850.34,1477.05,238.06
132,05/2021,884.5,189.84,56.91
132,06/2021,398.37,1374.56,163.57
132,07/2021,474.23,738.57,91.85
132,08/2021,832.46,1181.29,333.73
132,09/2021,220.59,732.56,155.12
132,10/2021,600.31,394.22,285.26
132,11/2021,47.07,1338.28,431.29
132,12/2021,397.45,171.51,115.38
132,01/2022,565.7,4.53,492.44
132,02/2022,244.93,37.98,54.81
132,03/2022,418.88,1055.04,216.22
132,04/2022,625.34,1198.48,92.28
132,05/2022,846.71,716.19,407.36
132,06/2022,142.88,729.9,350.98
132,07/2022,512.06,1151.04,13.98
132,08/2022,493.18,141.14,327.7
132,09/2022,698.48,108.07,268.75
132,10/2022,274.03,1165.46,309.11
132,11/2022,684.29,1411.47,144.33
132,12/2022,240.51,1403.65,20.73
132,01/2023,742.68,132.27,293.56
132,02/2023,400.03,417.53,47.27
132,03/2023,617.21,462.34,116.79
132,04/2023,416.29,733.12,166.34
132,05/2023,62.69,1180.71,29.31
132,06/2023,778.24,282.97,391.22
132,07/2023,900.99,223.69,418.74
133,01/2021,106.99,1142.09,316.49
133,02/2021,923.96,683.79,388.29
133,03/2021,144.85,1096.71,165.29
133,04/2021,508.07,699.28,299.88
133,05/2021,87.17,493.72,441.37
133,06/2021,139.66,230.03,140.52
133,07/2021,255.75,706.4,348.21
133,08/2021,290.87,1026.87,468.85
133,09/2021,687.48,1165.25,329.26
133,10/2021,28.22,1246.4,271.34
133,11/2021,959.63,989.25,134.82
133,12/2021,651.77,1166.66,216.29
133,01/2022,685.01,165.71,162.44
133,02/2022,794.25,591.02,200.41
133,03/2022,863.1,754.97,118.83
133,04/2022,754.12,1128.16,140.34
133,05/2022,134.45,869.71,159.76
133,06/2022,408.67,738.98,20.12
133,07/2022,572.01,1174.42,307.78
133,08/2022,478.99,243.0,147.17
133,09/2022,577.3,628.11,366.67
133,10/2022,900.54,1163.18,465.14
133,11/2022,676.0,1230.04,14.4
133,12/2022,251.71,131.71,382.27
133,01/2023,895.37,35.75,184.82
133,02/2023,906.24,1264.09,34.51
133,03/2023,703.44,1074.72,40.28
133,04/2023,676.19,288.66,188.17
133,05/2023,504.38,8.88,32.2
133,06/2023,783.56,1204.7,86.65
133,07/2023,463.6,996.49,8.65
134,01/2021,347.14,871.93,78.82
134,02/2021,319.18,787.31,88.43
134,03/2021,959.23,412.57,271.87
134,04/2021,629.13,381.09,482.85
134,05/2021,85.04,549.54,377.86
134,06/2021,598.65,218.4,78.4
134,07/2021,531.6,1036.52,3.25
134,08/2021,187.17,15.09,73.39
134,09/2021,651.86,1032.67,409.02
134,10/2021,891.14,19.16,2.64
134,11/2021,633.47,1005.7,353.23
134,12/2021,950.31,103.26,129.06
134,01/2022,466.34,384.29,77.33
134,02/2022,483.51,185.24,136.37
134,03/2022,616.34,703.78,379.23
134,04/2022,746.36,539.91,211.67
134,05/2022,477.19,168.87,95.88
134,06/2022,224.65,735.28,405.93
134,07/2022,583.13,2.51,194.94
134,08/2022,117.79,1285.18,476.8
134,09/2022,291.44,430.35,175.13
134,10/2022,471.5,545.3,117.42
134,11/2022,675.02,1170.08,188.92
134,12/2022,978.6,1477.97,256.91
134,01/2023,570.32,208.37,62.62
134,02/2023,879.42,1100.58,390.41
134,03/2023,749.66,780.28,491.04
134,04/2023,257.19,1301.16,219.13
134,05/2023,753.55,663.73,438.65
134,06/2023,557.09,458.71,489.38
134,07/2023,928.57,1176.4,214.12
135,01/2021,898.21,1463.17,130.29
135,02/2021,996.64,735.19,171.3
135,03/2021,661.31,248.94,428.39
135,04/2021,488.96,753.73,445.13
135,05/2021,485.28,1320.44,312.14
135,06/2021,383.4,174.31,351.73
135,07/2021,312.88,616.13,305.85
135,08/2021,78.81,994.6,268.44
135,09/2021,597.38,1096.83,326.03
135,10/2021,785.04,600.29,170.49
135,11/2021,849.78,1135.55,411.51
135,12/2021,75.61,320.06,121.84
135,01/2022,939.24,311.73,23.88
135,02/2022,9.68,1411.61,50.32
135,03/2022,457.94,1000.2,260.85
135,04/2022,472.84,1059.21,327.46
135,05/2022,68.26,473.13,482.72
135,06/2022,854.19,1427.58,486.82
135,07/2022,241.87,604.93,178.26
135,08/2022,534.47,1307.65,188.23
135,09/2022,233.19,459.48,319.46
135,10/2022,807.05,1061.25,3.84
135,11/2022,951.46,651.08,57.58
135,12/2022,689.44,76.82,15.72
135,01/2023,55.17,688.15,334.55
135,02/2023,647.39,197.86,241.45
135,03/2023,309.48,840.8,111.17
135,04/2023,547.58,508.66,51.98
135,05/2023,735.51,734.97,110.66
135,06/2023,244.65,548.3,452.21
135,07/2023,315.49,107.16,456.04
136,01/2021,181.87,909.28,2.84
136,02/2021,971.43,1368.75,41.04
136,03/2021,920.31,969.0,263.62
136,04/2021,784.5,1094.24,180.78
136,05/2021,854.04,948.37,321.6
136,06/2021,508.75,1221.51,398.16
136,07/2021,75.34,933.89,309.04
136,08/2021,920.23,352.21,370.08
136,09/2021,777.01,1378.78,258.97
136,10/2021,298.93,620.93,400.91
136,11/2021,870.86,927.57,307.94
136,12/2021,317.67,713.31,403.05
136,01/2022,673.77,461.9,222.71
136,02/2022,665.07,269.11,11.75
136,03/2022,23.73,1327.26,490.33
136,04/2022,645.8,1354.04,350.72
136,05/2022,177.24,739.1,451.82
136,06/2022,109.84,237.65,64.93
136,07/2022,946.82,118.12,239.06
136,08/2022,614.92,1115.56,59.49
136,09/2022,801.13,1497.62,66.35
136,10/2022,814.74,1100.97,417.44
136,11/2022,347.23,305.2,141.5
136,12/2022,416.19,543.77,137.37
136,01/2023,305.86,338.43,212.19
136,02/2023,535.71,596.81,28.2
136,03/2023,691.06,488.66,244.69
136,04/2023,225.87,443.72,28.87
136,05/2023,722.48,1414.77,429.79
136,06/2023,92.66,600.39,139.01
136,07/2023,148.25,687.39,1.5
137,01/2021,145.87,481.02,139.41
137,02/2021,789.84,395.45,348.74
137,03/2021,353.48,1232.33,123.9
137,04/2021,227.52,290.68,433.39
137,05/2021,854.39,281.4,416.89
137,06/2021,544.51,276.98,226.58
137,07/2021,783.07,26.84,401.55
137,08/2021,713.7,1060.76,436.22
137,09/2021,449.59,1396.64,69.03
137,10/2021,544.97,1204.84,453.31
137,11/2021,941.06,367.38,321.38
137,12/2021,418.69,1221.16,182.62
137,01/2022,249.98,794.89,26.84
137,02/2022,886.77,925.71,21.71
137,03/2022,352.23,1070.37,184.62
137,04/2022,343.54,93.5,266.62
137,05/2022,642.35,583.91,133.96
137,06/2022,362.91,239.18,138.06
137,07/2022,262.46,1401.43,367.02
137,08/2022,881.57,837.34,76.73
137,09/2022,574.42,438.88,367.11
137,10/2022,380.63,263.92,422.1
137,11/2022,955.05,562.97,171.54
137,12/2022,829.47,54.49,130.76
137,01/2023,544.78,1105.05,142.4
137,02/2023,450.84,694.3,148.66
137,03/2023,865.88,1460.0,141.09
137,04/2023,301.03,257.24,244.9
137,05/2023,69.41,1314.4,42.32
137,06/2023,622.03,1062.09,172.06
137,07/2023,109.96,1464.84,229.89
138,01/2021,418.87,1359.85,131.4
138,02/2021,507.19,406.39,464.0
138,03/2021,646.08,871.75,182.36
138,04/2021,829.79,360.97,37.83
138,05/2021,838.23,1204.5,267.04
138,06/2021,903.85,746.0,426.81
138,07/2021,659.32,694.24,256.87
138,08/2021,55.54,954.62,63.04
138,09/2021,956.6,899.71,36.88
138,10/2021,653.43,788.58,474.47
138,11/2021,989.45,1405.57,385.89
138,12/2021,867.77,442.27,475.48
138,01/2022,967.38,1494.84,194.36
138,02/2022,538.75,1085.23,49.85
138,03/2022,140.34,326.2,127.81
138,04/2022,846.9,185.67,451.51
138,05/2022,920.27,1436.81,58.32
138,06/2022,896.06,204.68,89.79
138,07/2022,89.92,23.01,17.88
138,08/2022,347.53,1383.19,79.68
138,09/2022,323.11,783.82,141.26
138,10/2022,550.77,736.38,284.31
138,11/2022,382.03,572.99,438.78
138,12/2022,464.02,112.34,358.01
138,01/2023,636.82,223.25,30.9
138,02/2023,820.69,60.16,299.63
138,03/2023,837.49,566.74,468.55
138,04/2023,148.47,1262.39,409.4
138,05/2023,599.97,953.4,53.48
138,06/2023,434.35,911.86,106.61
138,07/2023,410.65,634.53,16.54
139,01/2021,533.31,265.61,150.87
139,02/2021,400.01,1204.36,193.63
139,03/2021,277.25,443.8,37.25
139,04/2021,150.76,1087.97,138.4
139,05/2021,795.9,369.57,23.04
139,06/2021,533.92,1151.97,230.18
139,07/2021,76.61,68.07,97.34
139,08/2021,105.75,254.06,384.63
139,09/2021,574.13,1181.21,337.57
139,10/2021,97.91,676.49,71.43
139,11/2021,997.92,1441.0,459.68
139,12/2021,187.06,783.71,73.09
139,01/2022,872.31,948.48,159.68
139,02/2022,725.83,730.49,446.91
139,03/2022,694.72,528.42,237.57
139,04/2022,274.54,794.05,477.97
139,05/2022,884.08,1318.48,274.65
139,06/2022,894.14,340.72,388.42
139,07/2022,469.66,929.31,358.15
139,08/2022,822.86,85.29,339.96
139,09/2022,170.84,207.0,340.69
139,10/2022,411.17,1301.13,380.3
139,11/2022,744.64,510.29,100.99
139,12/2022,948.08,170.35,337.05
139,01/2023,716.36,962.5,481.21
139,02/2023,976.8,33.78,167.6
139,03/2023,71.24,303.31,13.96
139,04/2023,489.69,715.67,48.83
139,05/2023,14.53,155.64,441.58
139,06/2023,378.77,1093.49,92.02
139,07/2023,722.81,288.21,144.9
140,01/2021,615.13,1108.55,264.61
140,02/2021,702.1,1044.38,194.17
140,03/2021,794.54,345.39,173.72
140,04/2021,243.07,1235.77,309.1
140,05/2021,164.2,476.87,206.91
140,06/2021,853.64,1126.16,162.56
140,07/2021,321.84,5.37,319.1
140,08/2021,42.14,130.92,116.79
140,09/2021,730.36,204.16,53.16
140,10/2021,52.89,236.21,297.91
140,11/2021,974.88,31.49,293.89
140,12/2021,433.88,1433.56,292.17
140,01/2022,123.54,351.18,301.84
140,02/2022,581.15,1299.91,379.95
140,03/2022,780.72,394.41,396.67
140,04/2022,722.2,67.8,12.59
140,05/2022,692.63,345.35,493.29
140,06/2022,344.38,306.47,409.5
140,07/2022,594.9,342.99,50.31
140,08/2022,132.77,1422.43,214.85
140,09/2022,273.73,197.64,401.35
140,10/2022,905.98,738.48,269.9
140,11/2022,422.39,373.04,150.86
140,12/2022,312.21,767.33,407.9
140,01/2023,452.92,686.63,198.05
140,02/2023,836.31,267.61,488.53
140,03/2023,770.38,971.19,412.5
140,04/2023,103.89,835.13,388.87
140,05/2023,158.15,1437.11,361.55
140,06/2023,139.86,916.35,295.56
140,07/2023,233.17,1250.14,395.16
141,01/2021,289.66,1431.72,433.73
141,02/2021,488.91,802.16,425.81
141,03/2021,503.34,833.01,194.14
141,04/2021,924.01,313.71,59.91
141,05/2021,534.62,194.91,49.9
141,06/2021,503.78,919.7,246.64
141,07/2021,374.45,71.58,160.33
141,08/2021,891.01,191.94,78.68
141,09/2021,601.99,845.89,422.78
141,10/2021,265.78,500.73,145.68
141,11/2021,135.75,681.55,79.69
141,12/2021,998.36,232.97,485.79
141,01/2022,355.2,424.82,315.0
141,02/2022,823.5,1487.36,392.23
141,03/2022,930.74,645.4,355.24
141,04/2022,584.58,665.36,124.89
141,05/2022,348.37,592.27,449.28
141,06/2022,832.63,90.05,50.16
141,07/2022,816.24,1262.43,105.04
141,08/2022,773.82,1101.68,45.65
141,09/2022,170.11,1297.45,18.16
141,10/2022,493.55,1362.59,190.88
141,11/2022,279.68,1467.27,248.82
141,12/2022,909.74,373.4,29.84
141,01/2023,395.09,153.65,428.05
141,02/2023,259.6,1266.5,444.51
141,03/2023,38.13,783.67,108.85
141,04/2023,940.22,1301.73,304.76
141,05/2023,444.85,1090.63,327.38
141,06/2023,678.66,228.49,316.05
141,07/2023,533.66,1086.26,465.68
142,01/2021,551.58,206.81,482.74
142,02/2021,260.97,1270.5,31.06
142,03/2021,664.33,488.5,113.24
142,04/2021,931.43,489.03,312.79
142,05/2021,7.46,1271.85,420.71
142,06/2021,379.05,1284.48,183.47
142,07/2021,432.17,639.05,422.83
142,08/2021,147.1,172.07,306.16
142,09/2021,451.35,1326.04,156.09
142,10/2021,805.93,1325.99,225.94
142,11/2021,376.49,1253.56,340.38
142,12/2021,32.73,5.19,135.81
142,01/2022,499.17,1390.63,78.15
142,02/2022,203.92,972.56,171.58
142,03/2022,778.04,108.54,439.87
142,04/2022,352.14,1258.77,61.19
142,05/2022,867.4,608.4,193.7
142,06/2022,654.26,1403.42,213.18
142,07/2022,112.15,1418.0,309.55
142,08/2022,89.74,332.01,151.28
142,09/2022,975.77,1423.91,412.2
142,10/2022,595.78,390.46,275.04
142,11/2022,337.42,1054.01,465.85
142,12/2022,430.55,845.82,351.55
142,01/2023,688.42,154.62,14.77
142,02/2023,898.37,517.57,396.71
142,03/2023,581.64,312.59,328.01
142,04/2023,875.05,1280.84,178.32
142,05/2023,530.76,848.66,374.17
142,06/2023,743.88,1424.01,118.25
142,07/2023,887.91,101.27,46.44
143,01/2021,570.67,4.41,174.12
143,02/2021,919.62,345.79,43.9
143,03/2021,164.09,1186.58,495.65
143,04/2021,339.01,1266.18,30.79
143,05/2021,456.88,96.39,92.84
143,06/2021,863.86,1021.19,106.7
143,07/2021,999.83,1495.01,2.59
143,08/2021,442.96,729.07,394.67
143,09/2021,526.42,576.23,156.31
143,10/2021,527.64,1159.94,261.23
143,11/2021,660.58,761.95,499.56
143,12/2021,311.42,889.25,270.0
143,01/2022,507.7,1464.19,105.31
143,02/2022,590.84,32.73,188.82
143,03/2022,527.73,398.97,446.36
143,04/2022,599.23,263.95,110.69
143,05/2022,378.01,1101.27,485.61
143,06/2022,282.38,776.77,272.99
143,07/2022,842.7,988.35,395.38
143,08/2022,434.52,967.55,63.08
143,09/2022,945.47,348.1,91.33
143,10/2022,140.15,1039.39,66.08
143,11/2022,981.8,542.75,331.96
143,12/2022,26.35,136.38,261.77
143,01/2023,557.23,216.0,87.12
143,02/2023,375.69,582.37,140.31
143,03/2023,27.97,772.36,394.96
143,04/2023,321.94,272.66,445.8
143,05/2023,318.33,1203.04,203.17
143,06/2023,474.42,1358.7,198.71
143,07/2023,621.73,122.75,260.48
144,01/2021,152.27,581.32,440.45
144,02/2021,942.34,483.91,416.17
144,03/2021,9.9,479.25,1.39
144,04/2021,861.18,1011.92,284.01
144,05/2021,725.06,1492.56,245.03
144,06/2021,93.81,885.14,301.15
144,07/2021,48.57,719.1,189.89
144,08/2021,766.25,722.44,214.87
144,09/2021,398.39,679.74,243.51
144,10/2021,698.83,256.31,14.56
144,11/2021,402.93,1141.24,415.11
144,12/2021,457.11,955.07,246.0
144,01/2022,66.96,846.47,97.9
144,02/2022,784.84,903.81,412.31
144,03/2022,917.97,994.15,324.8
144,04/2022,709.83,550.7,384.43
144,05/2022,602.09,484.2,34.57
144,06/2022,397.68,473.4,45.2
144,07/2022,964.56,1030.64,273.05
144,08/2022,946.8,1496.82,238.54
144,09/2022,692.59,1231.77,340.03
144,10/2022,557.7,741.36,333.41
144,11/2022,165.04,1034.85,302.27
144,12/2022,574.34,556.67,456.52
144,01/2023,866.19,5.64,280.58
144,02/2023,199.06,435.62,193.85
144,03/2023,191.95,359.01,221.12
144,04/2023,597.27,1284.01,484.62
144,05/2023,634.7,603.71,65.67
144,06/2023,442.72,218.29,355.32
144,07/2023,944.8,897.84,459.42
145,01/2021,697.36,1138.17,334.82
145,02/2021,241.32,687.94,309.29
145,03/2021,253.04,1307.65,290.52
145,04/2021,412.35,298.99,497.13
145,05/2021,396.59,524.83,249.77
145,06/2021,141.72,635.41,274.79
145,07/2021,659.83,1267.66,243.0
145,08/2021,11.54,930.03,447.89
145,09/2021,845.46,1017.46,13.44
145,10/2021,192.0,207.47,364.48
145,11/2021,867.51,133.24,461.01
145,12/2021,888.45,231.15,320.53
145,01/2022,508.57,921.13,95.19
145,02/2022,259.61,1048.73,110.37
145,03/2022,110.88,1448.51,236.79
145,04/2022,305.36,176.64,23.51
145,05/2022,46.33,370.93,244.0
145,06/2022,947.63,513.67,492.09
145,07/2022,842.03,333.13,352.11
145,08/2022,587.2,303.89,433.3
145,09/2022,99.77,322.4,430.11
145,10/2022,652.64,1142.2,38.86
145,11/2022,835.76,1057.71,452.11
145,12/2022,658.34,1351.33,60.97
145,01/2023,255.88,477.96,125.21
145,02/2023,490.06,977.99,215.68
145,03/2023,204.63,48.98,321.72
145,04/2023,130.47,1459.48,440.68
145,05/2023,972.68,1445.87,133.5
145,06/2023,184.88,889.25,357.88
145,07/2023,938.44,599.41,317.83
146,01/2021,632.37,1364.45,451.33
146,02/2021,617.2,741.77,100.39
146,03/2021,316.39,402.64,59.92
146,04/2021,917.06,627.43,424.75
146,05/2021,727.19,672.02,353.94
146,06/2021,538.21,978.98,329.72
146,07/2021,772.65,1433.82,41.98
146,08/2021,733.99,1040.1,306.6
146,09/2021,49.38,1282.07,455.2
146,10/2021,625.83,1203.59,476.82
146,11/2021,525.68,209.07,145.13
146,12/2021,221.3,240.81,235.91
146,01/2022,861.11,846.61,47.74
146,02/2022,498.84,942.5,44.35
146,03/2022,483.16,96.38,21.65
146,04/2022,661.32,1390.73,347.2
146,05/2022,389.03,18.56,342.64
146,06/2022,469.75,1429.51,410.17
146,07/2022,716.0,74.05,335.75
146,08/2022,107.98,542.04,227.09
146,09/2022,904.08,1033.51,29.43
146,10/2022,256.57,385.39,413.89
146,11/2022,492.41,980.2,84.5
146,12/2022,891.99,170.69,84.43
146,01/2023,780.59,227.89,408.81
146,02/2023,281.14,1185.78,344.79
146,03/2023,596.07,390.6,291.02
146,04/2023,64.31,1086.16,462.2
146,05/2023,214.26,991.15,468.29
146,06/2023,456.54,1451.93,294.13
146,07/2023,652.49,205.65,288.53
147,01/2021,134.1,202.35,19.86
147,02/2021,744.64,1247.1,118.34
147,03/2021,801.61,1173.36,480.92
147,04/2021,159.35,1280.5,88.09
147,05/2021,647.36,84.79,335.56
147,06/2021,863.77,425.57,492.05
147,07/2021,946.73,1446.18,88.59
147,08/2021,122.02,974.49,184.84
147,09/2021,926.51,284.71,451.05
147,10/2021,642.19,881.04,206.38
147,11/2021,40.56,1424.37,32.45
147,12/2021,681.03,680.43,247.8
147,01/2022,387.97,137.44,224.93
147,02/2022,548.58,1355.49,277.07
147,03/2022,158.65,1374.92,349.35
147,04/2022,186.74,1231.39,381.02
147,05/2022,724.8,538.31,275.23
147,06/2022,73.12,913.15,150.92
